"bulay aravac a maca ni kina.","我媽媽的眼睛很漂亮。","https://web.klokah.tw/ninew/sound/11/03/10-B-3.mp3"
"bulay aravac","非常的美","https://web.klokah.tw/ninew/sound/11/03/10-C-3-1.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/03/10-C-3-2.mp3"
"maca","眼睛","https://web.klokah.tw/ninew/sound/11/03/10-C-3-3.mp3"
"ni","[虛]","https://web.klokah.tw/ninew/sound/11/03/10-C-3-4.mp3"
"kina","媽媽","https://web.klokah.tw/ninew/sound/11/03/10-C-3-5.mp3"
"azua a quvalj nimadju qucengecengel saka laruaruq.","她的頭髮又黑又長。","https://web.klokah.tw/ninew/sound/11/03/10-B-4.mp3"
"azua","那個","https://web.klokah.tw/ninew/sound/11/03/10-C-4-1.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/03/10-C-4-2.mp3"
"quvalj","頭髮","https://web.klokah.tw/ninew/sound/11/03/10-C-4-3.mp3"
"nimadju","她（的）","https://web.klokah.tw/ninew/sound/11/03/10-C-4-4.mp3"
"qucengecengel","黑色的","https://web.klokah.tw/ninew/sound/11/03/10-C-4-5.mp3"
"saka","又","https://web.klokah.tw/ninew/sound/11/03/10-C-4-6.mp3"
"laruaruq","長長的","https://web.klokah.tw/ninew/sound/11/03/10-C-4-7.mp3"
"maledepanga a qadav, masulemanga!","太陽下山了，天黑了！","https://web.klokah.tw/ninew/sound/11/04/01-B-1.mp3"
"maledepanga","下沉了","https://web.klokah.tw/ninew/sound/11/04/01-C-1-1.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/01-C-1-2.mp3"
"qadav","太陽","https://web.klokah.tw/ninew/sound/11/04/01-C-1-3.mp3"
"masulemanga","天黑了","https://web.klokah.tw/ninew/sound/11/04/01-C-1-4.mp3"
"masulemanga! zemayinganga a kulugi/tjikililj.","天黑了，蟋蟀叫了。","https://web.klokah.tw/ninew/sound/11/04/01-B-2.mp3"
"masulemanga","天黑了","https://web.klokah.tw/ninew/sound/11/04/01-C-2-1.mp3"
"zemayinganga","鳴叫","https://web.klokah.tw/ninew/sound/11/04/01-C-2-2.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/01-C-2-3.mp3"
"kulugi/tjikililj","蟋蟀","https://web.klokah.tw/ninew/sound/11/04/01-C-2-4.mp3"
"zemayinganga a kulugi/tjikililj, minequtanga a qiljas.","蟋蟀叫了，月亮出來了。","https://web.klokah.tw/ninew/sound/11/04/01-B-3.mp3"
"zemayinganga","鳴叫了","https://web.klokah.tw/ninew/sound/11/04/01-C-3-1.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/01-C-3-2.mp3"
"kulugi/tjikililj","蟋蟀","https://web.klokah.tw/ninew/sound/11/04/01-C-3-3.mp3"
"minequtanga","出現","https://web.klokah.tw/ninew/sound/11/04/01-C-3-4.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/01-C-3-5.mp3"
"qiljas","月亮","https://web.klokah.tw/ninew/sound/11/04/01-C-3-6.mp3"
"minequtanga a qiljas, pacekedanga a ljequ.","月亮出來了，貓頭鷹睡醒了。","https://web.klokah.tw/ninew/sound/11/04/01-B-4.mp3"
"minequtanga","出現","https://web.klokah.tw/ninew/sound/11/04/01-C-4-1.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/01-C-4-2.mp3"
"qiljas","月亮","https://web.klokah.tw/ninew/sound/11/04/01-C-4-3.mp3"
"pacekedanga","睡醒了","https://web.klokah.tw/ninew/sound/11/04/01-C-4-4.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/01-C-4-5.mp3"
"ljequ","貓頭鷹","https://web.klokah.tw/ninew/sound/11/04/01-C-4-6.mp3"
"uri qemadav tucu?","今天會出太陽嗎？","https://web.klokah.tw/ninew/sound/11/04/02-B-1.mp3"
"uri","將要","https://web.klokah.tw/ninew/sound/11/04/02-C-1-1.mp3"
"qemadav","出太陽","https://web.klokah.tw/ninew/sound/11/04/02-C-1-2.mp3"
"tucu","今天；現在","https://web.klokah.tw/ninew/sound/11/04/02-C-1-3.mp3"
"ui, uri qemadav tucu.","是的，今天要出太陽。","https://web.klokah.tw/ninew/sound/11/04/02-B-2.mp3"
"ui","是的","https://web.klokah.tw/ninew/sound/11/04/02-C-2-1.mp3"
"uri","將要","https://web.klokah.tw/ninew/sound/11/04/02-C-2-2.mp3"
"qemadav","出太陽","https://web.klokah.tw/ninew/sound/11/04/02-C-2-3.mp3"
"tucu","今天；現在","https://web.klokah.tw/ninew/sound/11/04/02-C-2-4.mp3"
"na tjemalupung ti kina a semasasav?","媽媽有戴帽子外出嗎？","https://web.klokah.tw/ninew/sound/11/04/02-B-3.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/11/04/02-C-3-1.mp3"
"tjemalupung","戴帽子","https://web.klokah.tw/ninew/sound/11/04/02-C-3-2.mp3"
"ti","[虛]","https://web.klokah.tw/ninew/sound/11/04/02-C-3-3.mp3"
"kina","媽媽","https://web.klokah.tw/ninew/sound/11/04/02-C-3-4.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/02-C-3-5.mp3"
"semasasav","到外面","https://web.klokah.tw/ninew/sound/11/04/02-C-3-6.mp3"
"ini, na malim/madrawdrav timadju a tjemalupung.","不，她忘了戴帽子。","https://web.klokah.tw/ninew/sound/11/04/02-B-4.mp3"
"ini","不是","https://web.klokah.tw/ninew/sound/11/04/02-C-4-1.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/11/04/02-C-4-2.mp3"
"malim/madrawdrav","忘記","https://web.klokah.tw/ninew/sound/11/04/02-C-4-3.mp3"
"timadju","她","https://web.klokah.tw/ninew/sound/11/04/02-C-4-4.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/02-C-4-5.mp3"
"tjemalupung","戴帽子","https://web.klokah.tw/ninew/sound/11/04/02-C-4-6.mp3"
"nu pasuvililj tua cengelj, maqatiaken a vaik a kivangavang?","下午我可以出去玩嗎？","https://web.klokah.tw/ninew/sound/11/04/03-B-1.mp3"
"nu","[虛]","https://web.klokah.tw/ninew/sound/11/04/03-C-1-1.mp3"
"pasuvililj tua cengelj","下午","https://web.klokah.tw/ninew/sound/11/04/03-C-1-2.mp3"
"maqatiaken","我可以","https://web.klokah.tw/ninew/sound/11/04/03-C-1-3.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/03-C-1-4.mp3"
"vaik","出去","https://web.klokah.tw/ninew/sound/11/04/03-C-1-5.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/03-C-1-6.mp3"
"kivangavang","玩","https://web.klokah.tw/ninew/sound/11/04/03-C-1-7.mp3"
"nakuya, qemudjaqudjalj a i sasav.","不行，外面下著雨。","https://web.klokah.tw/ninew/sound/11/04/03-B-2.mp3"
"nakuya","不行","https://web.klokah.tw/ninew/sound/11/04/03-C-2-1.mp3"
"qemudjaqudjalj","下著雨","https://web.klokah.tw/ninew/sound/11/04/03-C-2-2.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/03-C-2-3.mp3"
"i","在…","https://web.klokah.tw/ninew/sound/11/04/03-C-2-4.mp3"
"sasav","外面","https://web.klokah.tw/ninew/sound/11/04/03-C-2-5.mp3"
"nu semekezanga a qudjalj, maqatiaken a sema sasav?","如果雨停了，我可以出去了嗎？","https://web.klokah.tw/ninew/sound/11/04/03-B-3.mp3"
"nu","[虛]","https://web.klokah.tw/ninew/sound/11/04/03-C-3-1.mp3"
"semekezanga","停了","https://web.klokah.tw/ninew/sound/11/04/03-C-3-2.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/03-C-3-3.mp3"
"qudjalj","雨","https://web.klokah.tw/ninew/sound/11/04/03-C-3-4.mp3"
"maqatiaken","可以","https://web.klokah.tw/ninew/sound/11/04/03-C-3-5.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/03-C-3-6.mp3"
"sema","到","https://web.klokah.tw/ninew/sound/11/04/03-C-3-7.mp3"
"sasav","外面","https://web.klokah.tw/ninew/sound/11/04/03-C-3-8.mp3"
"maqati, nu masulem kipaqenetju tua tjumaq dri!","可以，傍晚記得要回家喔！","https://web.klokah.tw/ninew/sound/11/04/03-B-4.mp3"
"maqati","可以","https://web.klokah.tw/ninew/sound/11/04/03-C-4-1.mp3"
"nu","[虛]","https://web.klokah.tw/ninew/sound/11/04/03-C-4-2.mp3"
"masulem","天黑","https://web.klokah.tw/ninew/sound/11/04/03-C-4-3.mp3"
"kipaqenetju","要記得","https://web.klokah.tw/ninew/sound/11/04/03-C-4-4.mp3"
"tua","[虛]","https://web.klokah.tw/ninew/sound/11/04/03-C-4-5.mp3"
"tjumaq","回家","https://web.klokah.tw/ninew/sound/11/04/03-C-4-6.mp3"
"dri","[虛]","https://web.klokah.tw/ninew/sound/11/04/03-C-4-7.mp3"
"nutiav mavan a pinualjakan ni vuvu i Buka.","明天是Buka爺爺的生日。","https://web.klokah.tw/ninew/sound/11/04/04-B-1.mp3"
"nutiav","明天","https://web.klokah.tw/ninew/sound/11/04/04-C-1-1.mp3"
"mavan","就是","https://web.klokah.tw/ninew/sound/11/04/04-C-1-2.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/04-C-1-3.mp3"
"pinualjakan","生日","https://web.klokah.tw/ninew/sound/11/04/04-C-1-4.mp3"
"ni vuvu i Buka","Buka爺爺","https://web.klokah.tw/ninew/sound/11/04/04-C-1-5.mp3"
"uri kemesaamen kati kaka i Muni tua qavay.","我和Muni姊姊要煮米糕。","https://web.klokah.tw/ninew/sound/11/04/04-B-2.mp3"
"uri","將要","https://web.klokah.tw/ninew/sound/11/04/04-C-2-1.mp3"
"kemesaamen","我們煮","https://web.klokah.tw/ninew/sound/11/04/04-C-2-2.mp3"
"kati","和","https://web.klokah.tw/ninew/sound/11/04/04-C-2-3.mp3"
"kaka i Muni","Muni姊姊","https://web.klokah.tw/ninew/sound/11/04/04-C-2-4.mp3"
"tua","[虛]","https://web.klokah.tw/ninew/sound/11/04/04-C-2-5.mp3"
"qavay","米糕","https://web.klokah.tw/ninew/sound/11/04/04-C-2-6.mp3"
"uri sipavai nutiav tjay vuvu i Buka.","明天要送給Buka爺爺。","https://web.klokah.tw/ninew/sound/11/04/04-B-3.mp3"
"uri","將要","https://web.klokah.tw/ninew/sound/11/04/04-C-3-1.mp3"
"sipavai","送給","https://web.klokah.tw/ninew/sound/11/04/04-C-3-2.mp3"
"nutiav","明天","https://web.klokah.tw/ninew/sound/11/04/04-C-3-3.mp3"
"tjay","[虛]","https://web.klokah.tw/ninew/sound/11/04/04-C-3-4.mp3"
"vuvu i Buka","Buka爺爺","https://web.klokah.tw/ninew/sound/11/04/04-C-3-5.mp3"
"ulja na mintjus ti vuvu i Buka tua levaan.","希望Buka爺爺驚喜快樂。","https://web.klokah.tw/ninew/sound/11/04/04-B-4.mp3"
"ulja","希望","https://web.klokah.tw/ninew/sound/11/04/04-C-4-1.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/11/04/04-C-4-2.mp3"
"mintjus","驚喜","https://web.klokah.tw/ninew/sound/11/04/04-C-4-3.mp3"
"ti vuvu i Buka","Buka爺爺","https://web.klokah.tw/ninew/sound/11/04/04-C-4-4.mp3"
"tua","[虛]","https://web.klokah.tw/ninew/sound/11/04/04-C-4-5.mp3"
"levaan","快樂","https://web.klokah.tw/ninew/sound/11/04/04-C-4-6.mp3"
"ti imamun?","你們是誰？","https://web.klokah.tw/ninew/sound/11/04/05-B-1.mp3"
"ti imamun","你們是誰","https://web.klokah.tw/ninew/sound/11/04/05-C-1-1.mp3"
"ti Vais kati Tjuku amen, pai suqeljevi a paljing.","我們是Vais和Tjuku，請開門。","https://web.klokah.tw/ninew/sound/11/04/05-B-2.mp3"
"ti Vais","是Vais","https://web.klokah.tw/ninew/sound/11/04/05-C-2-1.mp3"
"kati","和","https://web.klokah.tw/ninew/sound/11/04/05-C-2-2.mp3"
"Tjuku","（女子名）","https://web.klokah.tw/ninew/sound/11/04/05-C-2-3.mp3"
"amen","我們","https://web.klokah.tw/ninew/sound/11/04/05-C-2-4.mp3"
"pai","[虛]","https://web.klokah.tw/ninew/sound/11/04/05-C-2-5.mp3"
"suqeljevi","請您打開","https://web.klokah.tw/ninew/sound/11/04/05-C-2-6.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/05-C-2-7.mp3"
"paljing","門","https://web.klokah.tw/ninew/sound/11/04/05-C-2-8.mp3"
"ay! manu timun! na singlitaken tjaynumun.","啊呀！原來是你們！我好想念你們。","https://web.klokah.tw/ninew/sound/11/04/05-B-3.mp3"
"ay","[虛]","https://web.klokah.tw/ninew/sound/11/04/05-C-3-1.mp3"
"manu","原來","https://web.klokah.tw/ninew/sound/11/04/05-C-3-2.mp3"
"timun","你們","https://web.klokah.tw/ninew/sound/11/04/05-C-3-3.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/11/04/05-C-3-4.mp3"
"singlitaken","我想念","https://web.klokah.tw/ninew/sound/11/04/05-C-3-5.mp3"
"tjaynumun","你們","https://web.klokah.tw/ninew/sound/11/04/05-C-3-6.mp3"
"vuvu! kalevau tua supinualjakan!","奶奶！祝您生日快樂！","https://web.klokah.tw/ninew/sound/11/04/05-B-4.mp3"
"vuvu","祖；孫","https://web.klokah.tw/ninew/sound/11/04/05-C-4-1.mp3"
"kalevau","祝您快樂","https://web.klokah.tw/ninew/sound/11/04/05-C-4-2.mp3"
"tua","[虛]","https://web.klokah.tw/ninew/sound/11/04/05-C-4-3.mp3"
"supinualjakan","你的生日","https://web.klokah.tw/ninew/sound/11/04/05-C-4-4.mp3"
"tjikezem ti vuvu a vavayan sa inuli.","奶奶閉上眼睛然後祈禱。","https://web.klokah.tw/ninew/sound/11/04/06-B-1.mp3"
"tjikezem","閉上","https://web.klokah.tw/ninew/sound/11/04/06-C-1-1.mp3"
"ti","[虛]","https://web.klokah.tw/ninew/sound/11/04/06-C-1-2.mp3"
"vuvu a vavayan","阿嬤","https://web.klokah.tw/ninew/sound/11/04/06-C-1-3.mp3"
"sa","然後","https://web.klokah.tw/ninew/sound/11/04/06-C-1-4.mp3"
"inuli","祈禱","https://web.klokah.tw/ninew/sound/11/04/06-C-1-5.mp3"
"qivu/pasemalav tu tjelu tua kinasaljingan.","說了三個願望。","https://web.klokah.tw/ninew/sound/11/04/06-B-2.mp3"
"qivu/pasemalav","說","https://web.klokah.tw/ninew/sound/11/04/06-C-2-1.mp3"
"tu","[虛]","https://web.klokah.tw/ninew/sound/11/04/06-C-2-2.mp3"
"tjelu","三","https://web.klokah.tw/ninew/sound/11/04/06-C-2-3.mp3"
"tua","[虛]","https://web.klokah.tw/ninew/sound/11/04/06-C-2-4.mp3"
"kinasaljingan","願望","https://web.klokah.tw/ninew/sound/11/04/06-C-2-5.mp3"
"na saljingaken tu meqacamun.","我希望你們長大。","https://web.klokah.tw/ninew/sound/11/04/06-B-3.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/11/04/06-C-3-1.mp3"
"saljingaaken","我希望","https://web.klokah.tw/ninew/sound/11/04/06-C-3-2.mp3"
"tu","[虛]","https://web.klokah.tw/ninew/sound/11/04/06-C-3-3.mp3"
"meqacamun","你們長大","https://web.klokah.tw/ninew/sound/11/04/06-C-3-4.mp3"
"na saljingaken tu suljivatjitjen a mapuljat.","我希望我們全家都平安。","https://web.klokah.tw/ninew/sound/11/04/06-B-4.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/11/04/06-C-4-1.mp3"
"saljingaken","我希望","https://web.klokah.tw/ninew/sound/11/04/06-C-4-2.mp3"
"tu","[虛]","https://web.klokah.tw/ninew/sound/11/04/06-C-4-3.mp3"
"suljivatjitjen","我們平安","https://web.klokah.tw/ninew/sound/11/04/06-C-4-4.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/06-C-4-5.mp3"
"mapuljat","大家","https://web.klokah.tw/ninew/sound/11/04/06-C-4-6.mp3"
"na saljingaken tu pulamiitjen tucu a cavilj.","我希望我們今年大豐收。","https://web.klokah.tw/ninew/sound/11/04/06-B-5.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/11/04/06-C-5-1.mp3"
"saljingaken","我希望","https://web.klokah.tw/ninew/sound/11/04/06-C-5-2.mp3"
"tu","[虛]","https://web.klokah.tw/ninew/sound/11/04/06-C-5-3.mp3"
"pulamiitjen","我們豐收","https://web.klokah.tw/ninew/sound/11/04/06-C-5-4.mp3"
"tucu a cavilj","今年","https://web.klokah.tw/ninew/sound/11/04/06-C-5-5.mp3"
"nu tapulavayan pida a qadav?","一週有幾天？","https://web.klokah.tw/ninew/sound/11/04/07-B-1.mp3"
"nu","[虛]","https://web.klokah.tw/ninew/sound/11/04/07-C-1-1.mp3"
"tapulavayan","一週","https://web.klokah.tw/ninew/sound/11/04/07-C-1-2.mp3"
"pida","多少","https://web.klokah.tw/ninew/sound/11/04/07-C-1-3.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/07-C-1-4.mp3"
"qadav","太陽；日子","https://web.klokah.tw/ninew/sound/11/04/07-C-1-5.mp3"
"izua pitju a qadav.","一週有七天。","https://web.klokah.tw/ninew/sound/11/04/07-B-2.mp3"
"izua","有","https://web.klokah.tw/ninew/sound/11/04/07-C-2-1.mp3"
"pitju","七","https://web.klokah.tw/ninew/sound/11/04/07-C-2-2.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/07-C-2-3.mp3"
"qadav","太陽；日子","https://web.klokah.tw/ninew/sound/11/04/07-C-2-4.mp3"
"sikamasanpidalj a qadavan tucu?","今天是星期幾？","https://web.klokah.tw/ninew/sound/11/04/07-B-3.mp3"
"sikamasanpidalj","第幾個","https://web.klokah.tw/ninew/sound/11/04/07-C-3-1.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/07-C-3-2.mp3"
"qadavan","天，日子","https://web.klokah.tw/ninew/sound/11/04/07-C-3-3.mp3"
"tucu","今天；現在","https://web.klokah.tw/ninew/sound/11/04/07-C-3-4.mp3"
"niciyubi tucu.","今天是星期日。","https://web.klokah.tw/ninew/sound/11/04/07-B-4.mp3"
"niciyubi","星期日","https://web.klokah.tw/ninew/sound/11/04/07-C-4-1.mp3"
"tucu","今天；現在","https://web.klokah.tw/ninew/sound/11/04/07-C-4-2.mp3"
"uri vaikamen a semakiukay a lihay.","我們要去教會做禮拜。","https://web.klokah.tw/ninew/sound/11/04/07-B-5.mp3"
"uri","將要","https://web.klokah.tw/ninew/sound/11/04/07-C-5-1.mp3"
"vaikamen","我們去","https://web.klokah.tw/ninew/sound/11/04/07-C-5-2.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/07-C-5-3.mp3"
"semakiukay","到教會","https://web.klokah.tw/ninew/sound/11/04/07-C-5-4.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/07-C-5-5.mp3"
"lihay","做禮拜","https://web.klokah.tw/ninew/sound/11/04/07-C-5-6.mp3"
"nu kaljazalangzangan, qaca a zaljum i pana.","夏天溪水多。","https://web.klokah.tw/ninew/sound/11/04/08-B-1.mp3"
"nu","[虛]","https://web.klokah.tw/ninew/sound/11/04/08-C-1-1.mp3"
"kaljazalangzangan","夏天","https://web.klokah.tw/ninew/sound/11/04/08-C-1-2.mp3"
"qaca","大的","https://web.klokah.tw/ninew/sound/11/04/08-C-1-3.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/08-C-1-4.mp3"
"zaljum","水","https://web.klokah.tw/ninew/sound/11/04/08-C-1-5.mp3"
"i","在…","https://web.klokah.tw/ninew/sound/11/04/08-C-1-6.mp3"
"pana","溪，河","https://web.klokah.tw/ninew/sound/11/04/08-C-1-7.mp3"
"ljakua, nu kaljazekaran/kaljadjaljemdjeman kedri a zaljum i pana.","但是，冬天溪水少。","https://web.klokah.tw/ninew/sound/11/04/08-B-2.mp3"
"ljakua","但是","https://web.klokah.tw/ninew/sound/11/04/08-C-2-1.mp3"
"nu","[虛]","https://web.klokah.tw/ninew/sound/11/04/08-C-2-2.mp3"
"kaljazekaran/kaljadjaljemdjeman","冬天","https://web.klokah.tw/ninew/sound/11/04/08-C-2-3.mp3"
"kedri","小的","https://web.klokah.tw/ninew/sound/11/04/08-C-2-4.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/08-C-2-5.mp3"
"zaljum","水","https://web.klokah.tw/ninew/sound/11/04/08-C-2-6.mp3"
"i","[虛]","https://web.klokah.tw/ninew/sound/11/04/08-C-2-7.mp3"
"pana","溪","https://web.klokah.tw/ninew/sound/11/04/08-C-2-8.mp3"
"nu kaljazalangzangan na pulavayangaamen.","夏天了，我們放暑假了。","https://web.klokah.tw/ninew/sound/11/04/08-B-3.mp3"
"nu","[虛]","https://web.klokah.tw/ninew/sound/11/04/08-C-3-1.mp3"
"kaljazalangzangan","夏天了","https://web.klokah.tw/ninew/sound/11/04/08-C-3-2.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/11/04/08-C-3-3.mp3"
"pulavayangaamen","我們放暑假了","https://web.klokah.tw/ninew/sound/11/04/08-C-3-4.mp3"
"ljakua, semanliav a raljiz.","但是，會有多次颱風。","https://web.klokah.tw/ninew/sound/11/04/08-B-4.mp3"
"ljakua","但是","https://web.klokah.tw/ninew/sound/11/04/08-C-4-1.mp3"
"semanliav","使…多次","https://web.klokah.tw/ninew/sound/11/04/08-C-4-2.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/08-C-4-3.mp3"
"raljiz","颱風；天災","https://web.klokah.tw/ninew/sound/11/04/08-C-4-4.mp3"
"azua anga raljiz, uri vaikananmun tucu a sema kungkuan?","颱風來了，今天你們還是要去上學嗎？","https://web.klokah.tw/ninew/sound/11/04/09-B-1.mp3"
"azua anga","來了","https://web.klokah.tw/ninew/sound/11/04/09-C-1-1.mp3"
"raljiz","颱風；天災","https://web.klokah.tw/ninew/sound/11/04/09-C-1-2.mp3"
"uri","將要","https://web.klokah.tw/ninew/sound/11/04/09-C-1-3.mp3"
"vaikananmun","你們仍然要去","https://web.klokah.tw/ninew/sound/11/04/09-C-1-4.mp3"
"tucu","今天；現在","https://web.klokah.tw/ninew/sound/11/04/09-C-1-5.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/09-C-1-6.mp3"
"sema","往...","https://web.klokah.tw/ninew/sound/11/04/09-C-1-7.mp3"
"kungkuan","學校","https://web.klokah.tw/ninew/sound/11/04/09-C-1-8.mp3"
"inika vaikangamen tucu a sema kungkuan.","我們今天不必去上學了。","https://web.klokah.tw/ninew/sound/11/04/09-B-2.mp3"
"inika","不必","https://web.klokah.tw/ninew/sound/11/04/09-C-2-1.mp3"
"vaikangamen","去","https://web.klokah.tw/ninew/sound/11/04/09-C-2-2.mp3"
"tucu","今天；現在","https://web.klokah.tw/ninew/sound/11/04/09-C-2-3.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/09-C-2-4.mp3"
"sema","到","https://web.klokah.tw/ninew/sound/11/04/09-C-2-5.mp3"
"kungkuan","學校","https://web.klokah.tw/ninew/sound/11/04/09-C-2-6.mp3"
"kaitjumaqu! maya ljesasav.","你們留在家！不要出去。","https://web.klokah.tw/ninew/sound/11/04/09-B-3.mp3"
"kaitjumaqu","你們留在家","https://web.klokah.tw/ninew/sound/11/04/09-C-3-1.mp3"
"maya","不可","https://web.klokah.tw/ninew/sound/11/04/09-C-3-2.mp3"
"ljesasav","出去","https://web.klokah.tw/ninew/sound/11/04/09-C-3-3.mp3"
"ui! nakiljivakamen.","是！我們會留心。","https://web.klokah.tw/ninew/sound/11/04/09-B-4.mp3"
"ui","是的","https://web.klokah.tw/ninew/sound/11/04/09-C-4-1.mp3"
"nakiljivakamen","我們會留心","https://web.klokah.tw/ninew/sound/11/04/09-C-4-2.mp3"
"nu kaljadjeljeman malum a kamurav.","秋天，柚子成熟了。","https://web.klokah.tw/ninew/sound/11/04/10-B-1.mp3"
"nu","[虛]","https://web.klokah.tw/ninew/sound/11/04/10-C-1-1.mp3"
"kaljadjeljeman","秋天","https://web.klokah.tw/ninew/sound/11/04/10-C-1-2.mp3"
"malum","成熟了","https://web.klokah.tw/ninew/sound/11/04/10-C-1-3.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/10-C-1-4.mp3"
"kamurav","柚子","https://web.klokah.tw/ninew/sound/11/04/10-C-1-5.mp3"
"azua i makagadu izua ljelualuas, izua qudjidjilj, izua qulivalivay uta.","整片山上有綠色的，有紅色的，也有黃色的。","https://web.klokah.tw/ninew/sound/11/04/10-B-2.mp3"
"azua","那個","https://web.klokah.tw/ninew/sound/11/04/10-C-2-1.mp3"
"i","在…","https://web.klokah.tw/ninew/sound/11/04/10-C-2-2.mp3"
"makagadu","整片山上","https://web.klokah.tw/ninew/sound/11/04/10-C-2-3.mp3"
"izua","有","https://web.klokah.tw/ninew/sound/11/04/10-C-2-4.mp3"
"ljelualuas","綠色的","https://web.klokah.tw/ninew/sound/11/04/10-C-2-5.mp3"
"izua","有","https://web.klokah.tw/ninew/sound/11/04/10-C-2-6.mp3"
"qudjidjilj","紅色的","https://web.klokah.tw/ninew/sound/11/04/10-C-2-7.mp3"
"izua","有","https://web.klokah.tw/ninew/sound/11/04/10-C-2-8.mp3"
"qulivalivay","黃色的","https://web.klokah.tw/ninew/sound/11/04/10-C-2-9.mp3"
"uta","也","https://web.klokah.tw/ninew/sound/11/04/10-C-2-10.mp3"
"tia Saljeljeng a taqumaqanan, vaik a mapuljat a sema gadu a kikamurav.","Saljeljeng一家人，全部到山上摘柚子。","https://web.klokah.tw/ninew/sound/11/04/10-B-3.mp3"
"tia","[虛]","https://web.klokah.tw/ninew/sound/11/04/10-C-3-1.mp3"
"Saljeljeng","（女子名）","https://web.klokah.tw/ninew/sound/11/04/10-C-3-2.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/10-C-3-3.mp3"
"taqumaqanan","家人","https://web.klokah.tw/ninew/sound/11/04/10-C-3-4.mp3"
"vaik","去","https://web.klokah.tw/ninew/sound/11/04/10-C-3-5.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/10-C-3-6.mp3"
"mapuljat","所有人","https://web.klokah.tw/ninew/sound/11/04/10-C-3-7.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/10-C-3-8.mp3"
"sema","到","https://web.klokah.tw/ninew/sound/11/04/10-C-3-9.mp3"
"gadu","山","https://web.klokah.tw/ninew/sound/11/04/10-C-3-10.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/10-C-3-11.mp3"
"kikamurav","柚子","https://web.klokah.tw/ninew/sound/11/04/10-C-3-12.mp3"
"na palamu saka na mapeljuqanga a drakuyan/padrekan.","只有一會兒就裝滿了簍子。","https://web.klokah.tw/ninew/sound/11/04/10-B-4.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/11/04/10-C-4-1.mp3"
"palamu","一下子","https://web.klokah.tw/ninew/sound/11/04/10-C-4-2.mp3"
"saka","[虛]","https://web.klokah.tw/ninew/sound/11/04/10-C-4-3.mp3"
"na","[虛]","https://web.klokah.tw/ninew/sound/11/04/10-C-4-4.mp3"
"mapeljuqanga","裝滿了","https://web.klokah.tw/ninew/sound/11/04/10-C-4-5.mp3"
"a","[虛]","https://web.klokah.tw/ninew/sound/11/04/10-C-4-6.mp3"
"drakuyan/padrekan","簍子，背籃","https://web.klokah.tw/ninew/sound/11/04/10-C-4-7.mp3"
