book	chapter	verse	text
Matthew	2	5	And they said unto him, In Bethlehem of Judaea: for thus it is written by the prophet,
Matthew	2	6	And thou Bethlehem, in the land of Juda, art not the least among the princes of Juda: for out of thee shall come a Governor, that shall rule my people Israel.
Matthew	2	7	Then Herod, when he had privily called the wise men, enquired of them diligently what time the star appeared.
Matthew	2	8	And he sent them to Bethlehem, and said, Go and search diligently for the young child; and when ye have found him, bring me word again, that I may come and worship him also.
Matthew	2	9	When they had heard the king, they departed; and, lo, the star, which they saw in the east, went before them, till it came and stood over where the young child was.
Matthew	2	10	When they saw the star, they rejoiced with exceeding great joy.
Matthew	2	11	And when they were come into the house, they saw the young child with Mary his mother, and fell down, and worshipped him: and when they had opened their treasures, they presented unto him gifts; gold, and frankincense and myrrh.
Matthew	2	12	And being warned of God in a dream that they should not return to Herod, they departed into their own country another way.
Matthew	2	13	And when they were departed, behold, the angel of the Lord appeareth to Joseph in a dream, saying, Arise, and take the young child and his mother, and flee into Egypt, and be thou there until I bring thee word: for Herod will seek the young child to destroy him.
Matthew	2	14	When he arose, he took the young child and his mother by night, and departed into Egypt:
Matthew	2	15	And was there until the death of Herod: that it might be fulfilled which was spoken of the Lord by the prophet, saying, Out of Egypt have I called my son.
Matthew	2	16	Then Herod, when he saw that he was mocked of the wise men, was exceeding wroth, and sent forth, and slew all the children that were in Bethlehem, and in all the coasts thereof, from two years old and under, according to the time which he had diligently enquired of the wise men.
Matthew	2	17	Then was fulfilled that which was spoken by Jeremy the prophet, saying,
Matthew	2	18	In Rama was there a voice heard, lamentation, and weeping, and great mourning, Rachel weeping for her children, and would not be comforted, because they are not.
Matthew	2	19	But when Herod was dead, behold, an angel of the Lord appeareth in a dream to Joseph in Egypt,
Matthew	2	20	Saying, Arise, and take the young child and his mother, and go into the land of Israel: for they are dead which sought the young child's life.
Matthew	2	21	And he arose, and took the young child and his mother, and came into the land of Israel.
Matthew	2	22	But when he heard that Archelaus did reign in Judaea in the room of his father Herod, he was afraid to go thither: notwithstanding, being warned of God in a dream, he turned aside into the parts of Galilee:
Matthew	2	23	And he came and dwelt in a city called Nazareth: that it might be fulfilled which was spoken by the prophets, He shall be called a Nazarene.
Matthew	3	1	In those days came John the Baptist, preaching in the wilderness of Judaea,
Matthew	3	2	And saying, Repent ye: for the kingdom of heaven is at hand.
Matthew	3	3	For this is he that was spoken of by the prophet Esaias, saying, The voice of one crying in the wilderness, Prepare ye the way of the Lord, make his paths straight.
Matthew	3	4	And the same John had his raiment of camel's hair, and a leathern girdle about his loins; and his meat was locusts and wild honey.
Matthew	3	5	Then went out to him Jerusalem, and all Judaea, and all the region round about Jordan,
Matthew	3	6	And were baptized of him in Jordan, confessing their sins.
Matthew	3	7	But when he saw many of the Pharisees and Sadducees come to his baptism, he said unto them, O generation of vipers, who hath warned you to flee from the wrath to come?
Matthew	3	8	Bring forth therefore fruits meet for repentance:
Matthew	3	9	And think not to say within yourselves, We have Abraham to our father: for I say unto you, that God is able of these stones to raise up children unto Abraham.
Matthew	3	10	And now also the axe is laid unto the root of the trees: therefore every tree which bringeth not forth good fruit is hewn down, and cast into the fire.
Matthew	3	11	I indeed baptize you with water unto repentance. but he that cometh after me is mightier than I, whose shoes I am not worthy to bear: he shall baptize you with the Holy Ghost, and with fire:
Matthew	3	12	Whose fan is in his hand, and he will throughly purge his floor, and gather his wheat into the garner; but he will burn up the chaff with unquenchable fire.
Matthew	3	13	Then cometh Jesus from Galilee to Jordan unto John, to be baptized of him.
Matthew	3	14	But John forbad him, saying, I have need to be baptized of thee, and comest thou to me?
Matthew	3	15	And Jesus answering said unto him, Suffer it to be so now: for thus it becometh us to fulfil all righteousness. Then he suffered him.
Matthew	3	16	And Jesus, when he was baptized, went up straightway out of the water: and, lo, the heavens were opened unto him, and he saw the Spirit of God descending like a dove, and lighting upon him:
Matthew	3	17	And lo a voice from heaven, saying, This is my beloved Son, in whom I am well pleased.
Matthew	4	1	Then was Jesus led up of the spirit into the wilderness to be tempted of the devil.
Matthew	4	2	And when he had fasted forty days and forty nights, he was afterward an hungred.
Matthew	4	3	And when the tempter came to him, he said, If thou be the Son of God, command that these stones be made bread.
Matthew	4	4	But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God.
Matthew	4	5	Then the devil taketh him up into the holy city, and setteth him on a pinnacle of the temple,
Matthew	4	6	And saith unto him, If thou be the Son of God, cast thyself down: for it is written, He shall give his angels charge concerning thee: and in their hands they shall bear thee up, lest at any time thou dash thy foot against a stone.
Matthew	4	7	Jesus said unto him, It is written again, Thou shalt not tempt the Lord thy God.
Matthew	4	8	Again, the devil taketh him up into an exceeding high mountain, and sheweth him all the kingdoms of the world, and the glory of them;
Matthew	4	9	And saith unto him, All these things will I give thee, if thou wilt fall down and worship me.
Matthew	4	10	Then saith Jesus unto him, Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve.
Matthew	4	11	Then the devil leaveth him, and, behold, angels came and ministered unto him.
Matthew	4	12	Now when Jesus had heard that John was cast into prison, he departed into Galilee;
Matthew	4	13	And leaving Nazareth, he came and dwelt in Capernaum, which is upon the sea coast, in the borders of Zabulon and Nephthalim:
Matthew	4	14	That it might be fulfilled which was spoken by Esaias the prophet, saying,
Matthew	4	15	The land of Zabulon, and the land of Nephthalim, by the way of the sea, beyond Jordan, Galilee of the Gentiles;
Matthew	4	16	The people which sat in darkness saw great light; and to them which sat in the region and shadow of death light is sprung up.
Matthew	4	17	From that time Jesus began to preach, and to say, Repent: for the kingdom of heaven is at hand.
Matthew	4	18	And Jesus, walking by the sea of Galilee, saw two brethren, Simon called Peter, and Andrew his brother, casting a net into the sea: for they were fishers.
Matthew	4	19	And he saith unto them, Follow me, and I will make you fishers of men.
Matthew	4	20	And they straightway left their nets, and followed him.
Matthew	4	21	And going on from thence, he saw other two brethren, James the son of Zebedee, and John his brother, in a ship with Zebedee their father, mending their nets; and he called them.
Matthew	4	22	And they immediately left the ship and their father, and followed him.
Matthew	4	23	And Jesus went about all Galilee, teaching in their synagogues, and preaching the gospel of the kingdom, and healing all manner of sickness and all manner of disease among the people.
Matthew	4	24	And his fame went throughout all Syria: and they brought unto him all sick people that were taken with divers diseases and torments, and those which were possessed with devils, and those which were lunatick, and those that had the palsy; and he healed them.
Matthew	4	25	And there followed him great multitudes of people from Galilee, and from Decapolis, and from Jerusalem, and from Judaea, and from beyond Jordan.
Matthew	5	1	And seeing the multitudes, he went up into a mountain: and when he was set, his disciples came unto him:
Matthew	5	2	And he opened his mouth, and taught them, saying,
Matthew	5	3	Blessed are the poor in spirit: for theirs is the kingdom of heaven.
Matthew	5	4	Blessed are they that mourn: for they shall be comforted.
Matthew	5	5	Blessed are the meek: for they shall inherit the earth.
Matthew	5	6	Blessed are they which do hunger and thirst after righteousness: for they shall be filled.
Matthew	5	7	Blessed are the merciful: for they shall obtain mercy.
Matthew	5	8	Blessed are the pure in heart: for they shall see God.
Matthew	5	9	Blessed are the peacemakers: for they shall be called the children of God.
Matthew	5	10	Blessed are they which are persecuted for righteousness' sake: for theirs is the kingdom of heaven.
Matthew	5	11	Blessed are ye, when men shall revile you, and persecute you, and shall say all manner of evil against you falsely, for my sake.
Matthew	5	12	Rejoice, and be exceeding glad: for great is your reward in heaven: for so persecuted they the prophets which were before you.
Matthew	5	13	Ye are the salt of the earth: but if the salt have lost his savour, wherewith shall it be salted? it is thenceforth good for nothing, but to be cast out, and to be trodden under foot of men.
Matthew	5	14	Ye are the light of the world. A city that is set on an hill cannot be hid.
Matthew	5	15	Neither do men light a candle, and put it under a bushel, but on a candlestick; and it giveth light unto all that are in the house.
Matthew	5	16	Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven.
Matthew	5	17	Think not that I am come to destroy the law, or the prophets: I am not come to destroy, but to fulfil.
Matthew	5	18	For verily I say unto you, Till heaven and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled.
Matthew	5	19	Whosoever therefore shall break one of these least commandments, and shall teach men so, he shall be called the least in the kingdom of heaven: but whosoever shall do and teach them, the same shall be called great in the kingdom of heaven.
Matthew	5	20	For I say unto you, That except your righteousness shall exceed the righteousness of the scribes and Pharisees, ye shall in no case enter into the kingdom of heaven.
Matthew	5	21	Ye have heard that it was said of them of old time, Thou shalt not kill; and whosoever shall kill shall be in danger of the judgment:
Matthew	5	22	But I say unto you, That whosoever is angry with his brother without a cause shall be in danger of the judgment: and whosoever shall say to his brother, Raca, shall be in danger of the council: but whosoever shall say, Thou fool, shall be in danger of hell fire.
Matthew	5	23	Therefore if thou bring thy gift to the altar, and there rememberest that thy brother hath ought against thee;
Matthew	5	24	Leave there thy gift before the altar, and go thy way; first be reconciled to thy brother, and then come and offer thy gift.
Matthew	5	25	Agree with thine adversary quickly, whiles thou art in the way with him; lest at any time the adversary deliver thee to the judge, and the judge deliver thee to the officer, and thou be cast into prison.
Matthew	5	26	Verily I say unto thee, Thou shalt by no means come out thence, till thou hast paid the uttermost farthing.
Matthew	5	27	Ye have heard that it was said by them of old time, Thou shalt not commit adultery:
Matthew	5	28	But I say unto you, That whosoever looketh on a woman to lust after her hath committed adultery with her already in his heart.
Matthew	5	29	And if thy right eye offend thee, pluck it out, and cast it from thee: for it is profitable for thee that one of thy members should perish, and not that thy whole body should be cast into hell.
Matthew	5	30	And if thy right hand offend thee, cut it off, and cast it from thee: for it is profitable for thee that one of thy members should perish, and not that thy whole body should be cast into hell.
Matthew	5	31	It hath been said, Whosoever shall put away his wife, let him give her a writing of divorcement:
Matthew	5	32	But I say unto you, That whosoever shall put away his wife, saving for the cause of fornication, causeth her to commit adultery: and whosoever shall marry her that is divorced committeth adultery.
Matthew	5	33	Again, ye have heard that it hath been said by them of old time, Thou shalt not forswear thyself, but shalt perform unto the Lord thine oaths:
Matthew	5	34	But I say unto you, Swear not at all; neither by heaven; for it is God's throne:
Matthew	5	35	Nor by the earth; for it is his footstool: neither by Jerusalem; for it is the city of the great King.
Matthew	5	36	Neither shalt thou swear by thy head, because thou canst not make one hair white or black.
Matthew	5	37	But let your communication be, Yea, yea; Nay, nay: for whatsoever is more than these cometh of evil.
Matthew	5	38	Ye have heard that it hath been said, An eye for an eye, and a tooth for a tooth:
Matthew	5	39	But I say unto you, That ye resist not evil: but whosoever shall smite thee on thy right cheek, turn to him the other also.
Matthew	5	40	And if any man will sue thee at the law, and take away thy coat, let him have thy cloak also.
Matthew	5	41	And whosoever shall compel thee to go a mile, go with him twain.
Matthew	5	42	Give to him that asketh thee, and from him that would borrow of thee turn not thou away.
Matthew	5	43	Ye have heard that it hath been said, Thou shalt love thy neighbour, and hate thine enemy.
Matthew	5	44	But I say unto you, Love your enemies, bless them that curse you, do good to them that hate you, and pray for them which despitefully use you, and persecute you;
Matthew	5	45	That ye may be the children of your Father which is in heaven: for he maketh his sun to rise on the evil and on the good, and sendeth rain on the just and on the unjust.
Matthew	5	46	For if ye love them which love you, what reward have ye? do not even the publicans the same?
Matthew	5	47	And if ye salute your brethren only, what do ye more than others? do not even the publicans so?
Matthew	5	48	Be ye therefore perfect, even as your Father which is in heaven is perfect.
Matthew	6	1	Take heed that ye do not your alms before men, to be seen of them: otherwise ye have no reward of your Father which is in heaven.
Matthew	6	2	Therefore when thou doest thine alms, do not sound a trumpet before thee, as the hypocrites do in the synagogues and in the streets, that they may have glory of men. Verily I say unto you, They have their reward.
Matthew	6	3	But when thou doest alms, let not thy left hand know what thy right hand doeth:
Matthew	6	4	That thine alms may be in secret: and thy Father which seeth in secret himself shall reward thee openly.
Matthew	6	5	And when thou prayest, thou shalt not be as the hypocrites are: for they love to pray standing in the synagogues and in the corners of the streets, that they may be seen of men. Verily I say unto you, They have their reward.
Matthew	6	6	But thou, when thou prayest, enter into thy closet, and when thou hast shut thy door, pray to thy Father which is in secret; and thy Father which seeth in secret shall reward thee openly.
Matthew	6	7	But when ye pray, use not vain repetitions, as the heathen do: for they think that they shall be heard for their much speaking.
Matthew	6	8	Be not ye therefore like unto them: for your Father knoweth what things ye have need of, before ye ask him.
Matthew	6	9	After this manner therefore pray ye: Our Father which art in heaven, Hallowed be thy name.
Matthew	6	10	Thy kingdom come, Thy will be done in earth, as it is in heaven.
Matthew	6	11	Give us this day our daily bread.
Matthew	6	12	And forgive us our debts, as we forgive our debtors.
Matthew	6	13	And lead us not into temptation, but deliver us from evil: For thine is the kingdom, and the power, and the glory, for ever. Amen.
Matthew	6	14	For if ye forgive men their trespasses, your heavenly Father will also forgive you:
Matthew	6	15	But if ye forgive not men their trespasses, neither will your Father forgive your trespasses.
Matthew	6	16	Moreover when ye fast, be not, as the hypocrites, of a sad countenance: for they disfigure their faces, that they may appear unto men to fast. Verily I say unto you, They have their reward.
Matthew	6	17	But thou, when thou fastest, anoint thine head, and wash thy face;
Matthew	6	18	That thou appear not unto men to fast, but unto thy Father which is in secret: and thy Father, which seeth in secret, shall reward thee openly.
Matthew	6	19	Lay not up for yourselves treasures upon earth, where moth and rust doth corrupt, and where thieves break through and steal:
Matthew	6	20	But lay up for yourselves treasures in heaven, where neither moth nor rust doth corrupt, and where thieves do not break through nor steal:
Matthew	6	21	For where your treasure is, there will your heart be also.
Matthew	6	22	The light of the body is the eye: if therefore thine eye be single, thy whole body shall be full of light.
Matthew	6	23	But if thine eye be evil, thy whole body shall be full of darkness. If therefore the light that is in thee be darkness, how great is that darkness!
Matthew	6	24	No man can serve two masters: for either he will hate the one, and love the other; or else he will hold to the one, and despise the other. Ye cannot serve God and mammon.
Matthew	6	25	Therefore I say unto you, Take no thought for your life, what ye shall eat, or what ye shall drink; nor yet for your body, what ye shall put on. Is not the life more than meat, and the body than raiment?
Matthew	6	26	Behold the fowls of the air: for they sow not, neither do they reap, nor gather into barns; yet your heavenly Father feedeth them. Are ye not much better than they?
Matthew	6	27	Which of you by taking thought can add one cubit unto his stature?
Matthew	6	28	And why take ye thought for raiment? Consider the lilies of the field, how they grow; they toil not, neither do they spin:
Matthew	6	29	And yet I say unto you, That even Solomon in all his glory was not arrayed like one of these.
Matthew	6	30	Wherefore, if God so clothe the grass of the field, which to day is, and to morrow is cast into the oven, shall he not much more clothe you, O ye of little faith?
Matthew	6	31	Therefore take no thought, saying, What shall we eat? or, What shall we drink? or, Wherewithal shall we be clothed?
Matthew	6	32	(For after all these things do the Gentiles seek:) for your heavenly Father knoweth that ye have need of all these things.
Matthew	6	33	But seek ye first the kingdom of God, and his righteousness; and all these things shall be added unto you.
Matthew	6	34	Take therefore no thought for the morrow: for the morrow shall take thought for the things of itself. Sufficient unto the day is the evil thereof.
Matthew	7	1	Judge not, that ye be not judged.
Matthew	7	2	For with what judgment ye judge, ye shall be judged: and with what measure ye mete, it shall be measured to you again.
Matthew	7	3	And why beholdest thou the mote that is in thy brother's eye, but considerest not the beam that is in thine own eye?
Matthew	7	4	Or how wilt thou say to thy brother, Let me pull out the mote out of thine eye; and, behold, a beam is in thine own eye?
Matthew	7	5	Thou hypocrite, first cast out the beam out of thine own eye; and then shalt thou see clearly to cast out the mote out of thy brother's eye.
Matthew	7	6	Give not that which is holy unto the dogs, neither cast ye your pearls before swine, lest they trample them under their feet, and turn again and rend you.
Matthew	7	7	Ask, and it shall be given you; seek, and ye shall find; knock, and it shall be opened unto you:
Matthew	7	8	For every one that asketh receiveth; and he that seeketh findeth; and to him that knocketh it shall be opened.
Matthew	7	9	Or what man is there of you, whom if his son ask bread, will he give him a stone?
Matthew	7	10	Or if he ask a fish, will he give him a serpent?
Matthew	7	11	If ye then, being evil, know how to give good gifts unto your children, how much more shall your Father which is in heaven give good things to them that ask him?
Matthew	7	12	Therefore all things whatsoever ye would that men should do to you, do ye even so to them: for this is the law and the prophets.
Matthew	7	13	Enter ye in at the strait gate: for wide is the gate, and broad is the way, that leadeth to destruction, and many there be which go in thereat:
Matthew	7	14	Because strait is the gate, and narrow is the way, which leadeth unto life, and few there be that find it.
Matthew	7	15	Beware of false prophets, which come to you in sheep's clothing, but inwardly they are ravening wolves.
Matthew	7	16	Ye shall know them by their fruits. Do men gather grapes of thorns, or figs of thistles?
Matthew	7	17	Even so every good tree bringeth forth good fruit; but a corrupt tree bringeth forth evil fruit.
Matthew	7	18	A good tree cannot bring forth evil fruit, neither can a corrupt tree bring forth good fruit.
Matthew	7	19	Every tree that bringeth not forth good fruit is hewn down, and cast into the fire.
Matthew	7	20	Wherefore by their fruits ye shall know them.
Matthew	7	21	Not every one that saith unto me, Lord, Lord, shall enter into the kingdom of heaven; but he that doeth the will of my Father which is in heaven.
Matthew	7	22	Many will say to me in that day, Lord, Lord, have we not prophesied in thy name? and in thy name have cast out devils? and in thy name done many wonderful works?
Matthew	7	23	And then will I profess unto them, I never knew you: depart from me, ye that work iniquity.
Matthew	7	24	Therefore whosoever heareth these sayings of mine, and doeth them, I will liken him unto a wise man, which built his house upon a rock:
Matthew	7	25	And the rain descended, and the floods came, and the winds blew, and beat upon that house; and it fell not: for it was founded upon a rock.
Matthew	7	26	And every one that heareth these sayings of mine, and doeth them not, shall be likened unto a foolish man, which built his house upon the sand:
Matthew	7	27	And the rain descended, and the floods came, and the winds blew, and beat upon that house; and it fell: and great was the fall of it.
Matthew	7	28	And it came to pass, when Jesus had ended these sayings, the people were astonished at his doctrine:
Matthew	7	29	For he taught them as one having authority, and not as the scribes.
Matthew	8	1	When he was come down from the mountain, great multitudes followed him.
Matthew	8	2	And, behold, there came a leper and worshipped him, saying, Lord, if thou wilt, thou canst make me clean.
Matthew	8	3	And Jesus put forth his hand, and touched him, saying, I will; be thou clean. And immediately his leprosy was cleansed.
Matthew	8	4	And Jesus saith unto him, See thou tell no man; but go thy way, shew thyself to the priest, and offer the gift that Moses commanded, for a testimony unto them.
Matthew	8	5	And when Jesus was entered into Capernaum, there came unto him a centurion, beseeching him,
Matthew	8	6	And saying, Lord, my servant lieth at home sick of the palsy, grievously tormented.
Matthew	8	7	And Jesus saith unto him, I will come and heal him.
Matthew	8	8	The centurion answered and said, Lord, I am not worthy that thou shouldest come under my roof: but speak the word only, and my servant shall be healed.
Matthew	8	9	For I am a man under authority, having soldiers under me: and I say to this man, Go, and he goeth; and to another, Come, and he cometh; and to my servant, Do this, and he doeth it.
Matthew	8	10	When Jesus heard it, he marvelled, and said to them that followed, Verily I say unto you, I have not found so great faith, no, not in Israel.
Matthew	8	11	And I say unto you, That many shall come from the east and west, and shall sit down with Abraham, and Isaac, and Jacob, in the kingdom of heaven.
Matthew	8	12	But the children of the kingdom shall be cast out into outer darkness: there shall be weeping and gnashing of teeth.
Matthew	8	13	And Jesus said unto the centurion, Go thy way; and as thou hast believed, so be it done unto thee. And his servant was healed in the selfsame hour.
Matthew	8	14	And when Jesus was come into Peter's house, he saw his wife's mother laid, and sick of a fever.
Matthew	8	15	And he touched her hand, and the fever left her: and she arose, and ministered unto them.
Matthew	8	16	When the even was come, they brought unto him many that were possessed with devils: and he cast out the spirits with his word, and healed all that were sick:
Matthew	8	17	That it might be fulfilled which was spoken by Esaias the prophet, saying, Himself took our infirmities, and bare our sicknesses.
Matthew	8	18	Now when Jesus saw great multitudes about him, he gave commandment to depart unto the other side.
Matthew	8	19	And a certain scribe came, and said unto him, Master, I will follow thee whithersoever thou goest.
Matthew	8	20	And Jesus saith unto him, The foxes have holes, and the birds of the air have nests; but the Son of man hath not where to lay his head.
Matthew	8	21	And another of his disciples said unto him, Lord, suffer me first to go and bury my father.
Matthew	8	22	But Jesus said unto him, Follow me; and let the dead bury their dead.
Matthew	8	23	And when he was entered into a ship, his disciples followed him.
Matthew	8	24	And, behold, there arose a great tempest in the sea, insomuch that the ship was covered with the waves: but he was asleep.
Matthew	8	25	And his disciples came to him, and awoke him, saying, Lord, save us: we perish.
Matthew	8	26	And he saith unto them, Why are ye fearful, O ye of little faith? Then he arose, and rebuked the winds and the sea; and there was a great calm.
Matthew	8	27	But the men marvelled, saying, What manner of man is this, that even the winds and the sea obey him!
Matthew	8	28	And when he was come to the other side into the country of the Gergesenes, there met him two possessed with devils, coming out of the tombs, exceeding fierce, so that no man might pass by that way.
Matthew	8	29	And, behold, they cried out, saying, What have we to do with thee, Jesus, thou Son of God? art thou come hither to torment us before the time?
Matthew	8	30	And there was a good way off from them an herd of many swine feeding.
Matthew	8	31	So the devils besought him, saying, If thou cast us out, suffer us to go away into the herd of swine.
Matthew	8	32	And he said unto them, Go. And when they were come out, they went into the herd of swine: and, behold, the whole herd of swine ran violently down a steep place into the sea, and perished in the waters.
Matthew	8	33	And they that kept them fled, and went their ways into the city, and told every thing, and what was befallen to the possessed of the devils.
Matthew	8	34	And, behold, the whole city came out to meet Jesus: and when they saw him, they besought him that he would depart out of their coasts.
Matthew	9	1	And he entered into a ship, and passed over, and came into his own city.
Matthew	9	2	And, behold, they brought to him a man sick of the palsy, lying on a bed: and Jesus seeing their faith said unto the sick of the palsy; Son, be of good cheer; thy sins be forgiven thee.
Matthew	9	3	And, behold, certain of the scribes said within themselves, This man blasphemeth.
Matthew	9	4	And Jesus knowing their thoughts said, Wherefore think ye evil in your hearts?
Matthew	9	5	For whether is easier, to say, Thy sins be forgiven thee; or to say, Arise, and walk?
Matthew	9	6	But that ye may know that the Son of man hath power on earth to forgive sins, (then saith he to the sick of the palsy,) Arise, take up thy bed, and go unto thine house.
Matthew	9	7	And he arose, and departed to his house.
Matthew	9	8	But when the multitudes saw it, they marvelled, and glorified God, which had given such power unto men.
Matthew	9	9	And as Jesus passed forth from thence, he saw a man, named Matthew, sitting at the receipt of custom: and he saith unto him, Follow me. And he arose, and followed him.
Matthew	9	10	And it came to pass, as Jesus sat at meat in the house, behold, many publicans and sinners came and sat down with him and his disciples.
Matthew	9	11	And when the Pharisees saw it, they said unto his disciples, Why eateth your Master with publicans and sinners?
Matthew	9	12	But when Jesus heard that, he said unto them, They that be whole need not a physician, but they that are sick.
Matthew	9	13	But go ye and learn what that meaneth, I will have mercy, and not sacrifice: for I am not come to call the righteous, but sinners to repentance.
Matthew	9	14	Then came to him the disciples of John, saying, Why do we and the Pharisees fast oft, but thy disciples fast not?
Matthew	9	15	And Jesus said unto them, Can the children of the bridechamber mourn, as long as the bridegroom is with them? but the days will come, when the bridegroom shall be taken from them, and then shall they fast.
Matthew	9	16	No man putteth a piece of new cloth unto an old garment, for that which is put in to fill it up taketh from the garment, and the rent is made worse.
Matthew	9	17	Neither do men put new wine into old bottles: else the bottles break, and the wine runneth out, and the bottles perish: but they put new wine into new bottles, and both are preserved.
Matthew	9	18	While he spake these things unto them, behold, there came a certain ruler, and worshipped him, saying, My daughter is even now dead: but come and lay thy hand upon her, and she shall live.
Matthew	9	19	And Jesus arose, and followed him, and so did his disciples.
Matthew	9	20	And, behold, a woman, which was diseased with an issue of blood twelve years, came behind him, and touched the hem of his garment:
Matthew	9	21	For she said within herself, If I may but touch his garment, I shall be whole.
Matthew	9	22	But Jesus turned him about, and when he saw her, he said, Daughter, be of good comfort; thy faith hath made thee whole. And the woman was made whole from that hour.
Matthew	9	23	And when Jesus came into the ruler's house, and saw the minstrels and the people making a noise,
Matthew	9	24	He said unto them, Give place: for the maid is not dead, but sleepeth. And they laughed him to scorn.
Matthew	9	25	But when the people were put forth, he went in, and took her by the hand, and the maid arose.
Matthew	9	26	And the fame hereof went abroad into all that land.
Matthew	9	27	And when Jesus departed thence, two blind men followed him, crying, and saying, Thou son of David, have mercy on us.
Matthew	9	28	And when he was come into the house, the blind men came to him: and Jesus saith unto them, Believe ye that I am able to do this? They said unto him, Yea, Lord.
Matthew	9	29	Then touched he their eyes, saying, According to your faith be it unto you.
Matthew	9	30	And their eyes were opened; and Jesus straitly charged them, saying, See that no man know it.
Matthew	9	31	But they, when they were departed, spread abroad his fame in all that country.
Matthew	9	32	As they went out, behold, they brought to him a dumb man possessed with a devil.
Matthew	9	33	And when the devil was cast out, the dumb spake: and the multitudes marvelled, saying, It was never so seen in Israel.
Matthew	9	34	But the Pharisees said, He casteth out devils through the prince of the devils.
Matthew	9	35	And Jesus went about all the cities and villages, teaching in their synagogues, and preaching the gospel of the kingdom, and healing every sickness and every disease among the people.
Matthew	9	36	But when he saw the multitudes, he was moved with compassion on them, because they fainted, and were scattered abroad, as sheep having no shepherd.
Matthew	9	37	Then saith he unto his disciples, The harvest truly is plenteous, but the labourers are few;
Matthew	9	38	Pray ye therefore the Lord of the harvest, that he will send forth labourers into his harvest.
Matthew	10	1	And when he had called unto him his twelve disciples, he gave them power against unclean spirits, to cast them out, and to heal all manner of sickness and all manner of disease.
Matthew	10	2	Now the names of the twelve apostles are these; The first, Simon, who is called Peter, and Andrew his brother; James the son of Zebedee, and John his brother;
Matthew	10	3	Philip, and Bartholomew; Thomas, and Matthew the publican; James the son of Alphaeus, and Lebbaeus, whose surname was Thaddaeus;
Matthew	10	4	Simon the Canaanite, and Judas Iscariot, who also betrayed him.
